slug,name,aliases,match_status,match_method,legacy_id,legacy_code,legacy_name,legacy_lines,sarthi_id,sarthi_code,sarthi_name,sarthi_commercial_name,sarthi_search_key,sarthi_lines,latitude,longitude
dwarka-sector-9,DWARKA SECTOR-9,,matched,code,239,DSN,DWARKA SECTOR - 9,LN3,639ac2e6e264aca1c1ecdfea,DSN,DWARKA SECTOR - 9,,DWARKA SECTOR - 9,LN3,28.5743,77.0653
east-azad-nagar,EAST AZAD NAGAR,,matched,code,186,EANR,EAST AZAD NAGAR,LN7,639ac2e6e264aca1c1ecdfeb,EANR,EAST AZAD NAGAR,,EAST AZAD NAGAR,LN7,28.66479,77.2826113
east-vinod-nagar-mayur-vihar-ii,EAST VINOD NAGAR-MAYUR VIHAR-II,,matched,code,181,VENT,EAST VINOD NAGAR-MAYUR VIHAR -II,LN7,639ac2e6e264aca1c1ecdfec,VENT,EAST VINOD NAGAR-MAYUR VIHAR -II,,EAST VINOD NAGAR-MAYUR VIHAR -II,LN7,28.620363,77.3023292
escorts-mujesar,ESCORTS MUJESAR,,matched,code,137,ECMJ,ESCORTS MUJESAR,LN6,639ac2e6e264aca1c1ecdfed,ECMJ,ESCORTS MUJESAR,,ESCORTS MUJESAR,LN6,28.37016,77.31494
esi-basaidarapur,ESI-BASAIDARAPUR,,matched,code,167,ESIH,ESI-BASAIDARAPUR,LN7,639ac2e6e264aca1c1ecdfee,ESIH,ESI-BASAIDARAPUR,,ESI-BASAIDARAPUR,LN7,28.6582712,77.1252019
ghevra,GHEVRA,GHEVRA METRO STATION,matched,code,108,GHEM,GHEVRA METRO STATION,LN5,639ac2e6e264aca1c1ecdfef,GHEM,GHEVRA,,GHEVRA,LN5,28.6853835,76.9949917
ghitorni,GHITORNI,,matched,code,41,GTNI,GHITORNI,LN2,639ac2e6e264aca1c1ecdff0,GTNI,GHITORNI,,GHITORNI,LN2,28.4938,77.1492
gokulpuri,GOKULPURI,,matched,code,189,GKPR,GOKULPURI,LN7EXTN,639ac2e6e264aca1c1ecdff1,GKPR,GOKULPURI,,GOKULPURI,LN7,28.7025224,77.2861548
golf-course,GOLF COURSE,,matched,code,204,GEC,GOLF COURSE,LN3,639ac2e6e264aca1c1ecdff2,GEC,GOLF COURSE,INDUSIND BANK GOLF COURSE,GOLF COURSE,LN3,28.5672,77.346
govindpuri,GOVINDPURI,GOVIND PURI,matched,code,122,GDPI,GOVIND PURI,LN6,639ac2e6e264aca1c1ecdff3,GDPI,GOVINDPURI,,GOVINDPURI,LN6,28.5446117,77.261992
