slug,name,aliases,match_status,match_method,legacy_id,legacy_code,legacy_name,legacy_lines,sarthi_id,sarthi_code,sarthi_name,sarthi_commercial_name,sarthi_search_key,sarthi_lines,latitude,longitude
najafgarh,NAJAFGARH,,matched,code,242,NFGH,NAJAFGARH,LN9,639ac2e6e264aca1c1ece03c,NFGH,NAJAFGARH,NAJAFGARH,NAJAFGARH,LN9,28.6126772,76.984354
nanaksar-sonia-vihar,NANAKSAR-SONIA VIHAR,SONIA VIHAR,matched,code,268,SNVH,SONIA VIHAR,LN7,69ad8de4c162e4b8ee086e1b,SNVH,NANAKSAR- SONIA VIHAR,NANAKSAR- SONIA VIHAR,NANAKSAR- SONIA VIHAR,LN7,28.5703764,77.1843847
nangli,NANGLI,,matched,code,241,NNGI,NANGLI,LN9,639ac2e6e264aca1c1ece03d,NNGI,NANGLI,,NANGLI,LN9,28.6174019,77.0083739
nangloi,NANGLOI,,matched,code,103,NNOI,NANGLOI,LN5,639ac2e6e264aca1c1ece03e,NNOI,NANGLOI,,NANGLOI,LN5,28.681984,77.0616903
nangloi-railway-station,NANGLOI RAILWAY STATION,,matched,code,104,NRSN,NANGLOI RAILWAY STATION,LN5,639ac2e6e264aca1c1ece03f,NRSN,NANGLOI RAILWAY STATION,,NANGLOI RAILWAY STATION,LN5,28.682133,77.0540313
naraina-vihar,NARAINA VIHAR,,matched,code,169,NAVR,NARAINA VIHAR,LN7,639ac2e6e264aca1c1ece040,NAVR,NARAINA VIHAR,,NARAINA VIHAR,LN7,28.624125,77.1342993
nawada,NAWADA,,matched,code,231,NWD,NAWADA,LN3,639ac2e6e264aca1c1ece041,NWD,NAWADA,,NAWADA,LN3,28.6202,77.045
neelam-chowk-ajronda,NEELAM CHOWK AJRONDA,,matched,code,136,NCAJ,NEELAM CHOWK AJRONDA,LN6,639ac2e6e264aca1c1ece042,NCAJ,NEELAM CHOWK AJRONDA,LAKHANI ARMAAN NEELAM CHWOKA AJRONDA,NEELAM CHOWK AJRONDA,LN6,28.3976537,77.3101607
nehru-enclave,NEHRU ENCLAVE,,matched,code,149,NUEE,NEHRU ENCLAVE,LN8,639ac2e6e264aca1c1ece043,NUEE,NEHRU ENCLAVE,,NEHRU ENCLAVE,LN8,28.5458514,77.251167
nehru-place,NEHRU PLACE,,matched,code,121,NP,NEHRU PLACE,LN6,639ac2e6e264aca1c1ece044,NP,NEHRU PLACE,,NEHRU PLACE,LN6,28.5514171,77.2506607
netaji-subhash-place,NETAJI SUBHASH PLACE,,matched,code,85,NSHP,NETAJI SUBHASH PLACE,LN1|LN7,639ac2e6e264aca1c1ece045,NSHP,NETAJI SUBHASH PLACE,,NETAJI SUBHASH PLACE,"LN1,LN7",28.696,77.1526
new-ashok-nagar,NEW ASHOK NAGAR,,matched,code,208,NAGR,NEW ASHOK NAGAR,LN3,639ac2e6e264aca1c1ece046,NAGR,NEW ASHOK NAGAR,,NEW ASHOK NAGAR,LN3,28.5892,77.3021
new-delhi-yellow-airport-line,NEW DELHI (Yellow & Airport Line),,matched,code,26,NDI,NEW DELHI (Yellow & Airport Line),LN10|LN2,639ac2e6e264aca1c1ece047,NDI,NEW DELHI (Yellow & Airport Line),,NEW DELHI (Yellow & Airport Line),"LN10,LN2",28.6427,77.2199
nhpc-chowk,NHPC CHOWK,,matched,code,130,NHPC,NHPC CHOWK,LN6,639ac2e6e264aca1c1ece048,NHPC,NHPC CHOWK,,NHPC CHOWK,LN6,28.4576694,77.3047513
nirman-vihar,NIRMAN VIHAR,,matched,code,196,NV,NIRMAN VIHAR,LN4,639ac2e6e264aca1c1ece049,NV,NIRMAN VIHAR,,NIRMAN VIHAR,LN4,28.6366,77.2868
noida-city-centre,NOIDA CITY CENTRE,,matched,code,27,NCC,NOIDA CITY CENTRE,LN3,639ac2e6e264aca1c1ece04a,NCC,NOIDA CITY CENTRE,WAVE CITY CENTRE NOIDA,NOIDA CITY CENTRE,LN3,28.5747,77.356
noida-electronic-city,NOIDA ELECTRONIC CITY,,matched,code,198,NECC,NOIDA ELECTRONIC CITY,LN3,639ac2e6e264aca1c1ece04b,NECC,NOIDA ELECTRONIC CITY,Bank of Baroda Noida Electronic City,NOIDA ELECTRONIC CITY,LN3,28.6279,77.3749
noida-sector-15,NOIDA SECTOR-15,,matched,code,207,NSFT,NOIDA SECTOR-15,LN3,639ac2e6e264aca1c1ece04c,NSFT,NOIDA SECTOR-15,INDIAN OIL NOIDA SEC-15 ,NOIDA SECTOR-15,LN3,28.5851,77.3116
noida-sector-16,NOIDA SECTOR-16,,matched,code,206,NSST,NOIDA SECTOR-16,LN3,639ac2e6e264aca1c1ece04d,NSST,NOIDA SECTOR-16,,NOIDA SECTOR-16,LN3,28.5787,77.3174
noida-sector-18,NOIDA SECTOR-18,,matched,code,205,NSET,NOIDA SECTOR-18,LN3,639ac2e6e264aca1c1ece04e,NSET,NOIDA SECTOR-18,WAVE SEC-18 NOIDA,NOIDA SECTOR-18,LN3,28.5708,77.3262
okhla-bird-sanctuary,OKHLA BIRD SANCTUARY,,matched,code,141,OKBS,OKHLA BIRD SANCTUARY,LN8,639ac2e6e264aca1c1ece04f,OKBS,OKHLA BIRD SANCTUARY,,OKHLA BIRD SANCTUARY,LN8,28.5530441,77.3201621
okhla-nsic,OKHLA NSIC,,matched,code,147,OKNS,OKHLA NSIC,LN8,639ac2e6e264aca1c1ece050,OKNS,OKHLA NSIC,Indusind Bank Okhla N.S.I.C,OKHLA NSIC,LN8,28.5544365,77.2648578
okhla-vihar,OKHLA VIHAR,,matched,code,144,OVA,OKHLA VIHAR,LN8,639ac2e6e264aca1c1ece051,OVA,OKHLA VIHAR,,OKHLA VIHAR,LN8,28.5614626,77.2919823
old-faridabad,OLD FARIDABAD,,matched,code,134,OFDB,OLD FARIDABAD,LN6,639ac2e6e264aca1c1ece052,OFDB,OLD FARIDABAD,,OLD FARIDABAD,LN6,28.4102041,77.3086392
palam,PALAM,,matched,code,160,PALM,PALAM,LN8,639ac2e6e264aca1c1ece053,PALM,PALAM,,PALAM,LN8,28.5889555,77.0806434
panchsheel-park,PANCHSHEEL PARK,,matched,code,152,PSPK,PANCHSHEEL PARK,LN8,639ac2e6e264aca1c1ece054,PSPK,PANCHSHEEL PARK,Indian Oil Panchsheel Park,PANCHSHEEL PARK,LN8,28.5422964,77.2185052
pandit-shree-ram-sharma,PANDIT SHREE RAM SHARMA,,matched,code,111,MIEE,PANDIT SHREE RAM SHARMA,LN5,639ac2e6e264aca1c1ece055,MIEE,PANDIT SHREE RAM SHARMA,,PANDIT SHREE RAM SHARMA,LN5,28.6892418,76.9489583
paschim-vihar-east,PASCHIM VIHAR EAST,,matched,code,98,PVE,PASCHIM VIHAR EAST,LN5,639ac2e6e264aca1c1ece056,PVE,PASCHIM VIHAR EAST,,PASCHIM VIHAR EAST,LN5,28.6773312,77.1101289
paschim-vihar-west,PASCHIM VIHAR WEST,,matched,code,99,PVW,PASCHIM VIHAR WEST,LN5,639ac2e6e264aca1c1ece057,PVW,PASCHIM VIHAR WEST,,PASCHIM VIHAR WEST,LN5,28.678829,77.0994732
patel-chowk,PATEL CHOWK,,matched,code,59,PTCK,PATEL CHOWK,LN2,639ac2e6e264aca1c1ece058,PTCK,PATEL CHOWK,,PATEL CHOWK,LN2,28.6233,77.2145
patel-nagar,PATEL NAGAR,,matched,code,219,PN,PATEL NAGAR,LN3,639ac2e6e264aca1c1ece059,PN,PATEL NAGAR,,PATEL NAGAR,LN3,28.645,77.1693
peeragarhi,PEERAGARHI,,matched,code,100,PAGI,PEERAGARHI,LN5,639ac2e6e264aca1c1ece05a,PAGI,PEERAGARHI,,PEERAGARHI,LN5,28.6798828,77.0910404
phase-1,PHASE-1,,matched,code,254,PH1,PHASE-1,LN11,639ac2e6e264aca1c1ece05b,PH1,PHASE-1,PHASE-1,PHASE-1,LN11,28.4706,77.0932
phase-2,PHASE-2,,matched,code,249,DL2,PHASE-2,LN11,639ac2e6e264aca1c1ece05c,DL2,PHASE-2,PHASE-2,PHASE-2,LN11,28.4873,77.0931
phase-3,PHASE-3,,matched,code,253,DL3,PHASE-3,LN11,639ac2e6e264aca1c1ece05d,DL3,PHASE-3,PHASE-3,PHASE-3,LN11,28.4925,77.0919
pratap-nagar,PRATAP NAGAR,,matched,code,81,PRA,PRATAP NAGAR,LN1,639ac2e6e264aca1c1ece05f,PRA,PRATAP NAGAR,,PRATAP NAGAR,LN1,28.6666,77.1989
preet-vihar,PREET VIHAR,,matched,code,195,PTVR,PREET VIHAR,LN4,639ac2e6e264aca1c1ece060,PTVR,PREET VIHAR,,PREET VIHAR,LN4,28.6419,77.2956
pulbangash,PULBANGASH,,matched,code,80,PBGH,PULBANGASH,LN1,639ac2e6e264aca1c1ece061,PBGH,PULBANGASH,,PULBANGASH,LN1,28.6664,77.2074
punjabi-bagh,PUNJABI BAGH,,matched,code,95,PBGA,PUNJABI BAGH,LN5,639ac2e6e264aca1c1ece062,PBGA,PUNJABI BAGH,,PUNJABI BAGH,LN5,28.6729291,77.1438705
punjabi-bagh-west,PUNJABI BAGH WEST,,matched,code,166,PBGW,PUNJABI BAGH WEST,LN5|LN7,639ac2e6e264aca1c1ece063,PBGW,PUNJABI BAGH WEST,,PUNJABI BAGH WEST,"LN5,LN7",28.6727751,77.136418
qutab-minar,QUTAB MINAR,,matched,code,38,QM,QUTAB MINAR,LN2,639ac2e6e264aca1c1ece064,QM,QUTAB MINAR,,QUTAB MINAR,LN2,28.5129,77.1863
r-k-puram,R.K.PURAM,,matched,code,154,RKPM,R.K.PURAM,LN8,639ac2e6e264aca1c1ece065,RKPM,R.K.PURAM,,R.K.PURAM,LN8,28.5503497,77.1851486
raj-bagh,RAJ BAGH,,matched,code,70,RJBH,RAJ BAGH,LN1,639ac2e6e264aca1c1ece066,RJBH,RAJ BAGH,,RAJ BAGH,LN1,28.6808,77.3439
raja-nahar-singh-ballabhgarh,RAJA NAHAR SINGH (BALLABHGARH),,matched,code,139,BVHM,RAJA NAHAR SINGH (BALLABHGARH),LN6,639ac2e6e264aca1c1ece067,BVHM,RAJA NAHAR SINGH (BALLABHGARH),,RAJA NAHAR SINGH (BALLABHGARH),LN6,28.3397812,77.316603
rajdhani-park,RAJDHANI PARK,,matched,code,105,RDPK,RAJDHANI PARK,LN5,639ac2e6e264aca1c1ece068,RDPK,RAJDHANI PARK,,RAJDHANI PARK,LN5,28.6822794,77.0418183
rajendra-place,RAJENDRA PLACE,,matched,code,218,RP,RAJENDRA PLACE,LN3,639ac2e6e264aca1c1ece069,RP,RAJENDRA PLACE,Rajendra Place Indraprasth Gas Limited,RAJENDRA PLACE,LN3,28.6425,77.1782
rajiv-chowk,RAJIV CHOWK,,matched,code,20,RCK,RAJIV CHOWK,LN2|LN3,639ac2e6e264aca1c1ece06a,RCK,RAJIV CHOWK,RAJIV CHOWK,"RAJEEV CHOWK, RAJIV CHOWK, CP, CONNAUGHT PLACE","LN2,LN3",28.633,77.2194
rajouri-garden,RAJOURI GARDEN,,matched,code,224,RG,RAJOURI GARDEN,LN3|LN7,639ac2e6e264aca1c1ece06b,RG,RAJOURI GARDEN,Rajouri Garden,RAJOURI GARDEN,"LN3,LN7",28.649,77.1227
ramakrishna-ashram-marg,RAMAKRISHNA ASHRAM MARG,,matched,code,215,RKAM,RAMAKRISHNA ASHRAM MARG,LN3,639ac2e6e264aca1c1ece06e,RKAM,RAMAKRISHNA ASHRAM MARG,,RAMAKRISHNA ASHRAM MARG,LN3,28.6392,77.2086
ramesh-nagar,RAMESH NAGAR,,matched,code,222,RN,RAMESH NAGAR,LN3,639ac2e6e264aca1c1ece06c,RN,RAMESH NAGAR,,RAMESH NAGAR,LN3,28.6527,77.1315
rithala,RITHALA,,matched,code,90,RI,RITHALA,LN1,639ac2e6e264aca1c1ece06d,RI,RITHALA,,RITHALA,LN1,28.7208,77.1072
rohini,ROHINI,ROHINI (Formerly ROHINI EAST),matched,code,88,RHE,ROHINI,LN1,639ac2e6e264aca1c1ece06f,RHE,ROHINI (Formerly ROHINI EAST),ROHINI,rohini (formerly rohini east) rhe rohini,LN1,28.7077,77.1259
rohini-sector-18-19,"ROHINI SECTOR-18, 19",,matched,code,49,RISE,"ROHINI SECTOR - 18, 19",LN2,639ac2e6e264aca1c1ece071,RISE,"ROHINI SECTOR - 18, 19",,"ROHINI SECTOR - 18, 19",LN2,28.7327,77.1341
sadar-bazar-cantonment,SADAR BAZAR CANTONMENT,,matched,code,159,SABR,SADAR BAZAR CANTONMENT,LN8,639ac2e6e264aca1c1ece072,SABR,SADAR BAZAR CANTONMENT,,SADAR BAZAR CANTONMENT,LN8,28.5764632,77.1114814
saket,SAKET,,matched,code,37,SAKT,SAKET,LN2,639ac2e6e264aca1c1ece073,SAKT,SAKET,,SAKET,LN2,28.5211,77.2022
samaypur-badli,SAMAYPUR BADLI,,matched,code,48,SPBI,SAMAYPUR BADLI,LN2,639ac2e6e264aca1c1ece074,SPBI,SAMAYPUR BADLI,,SAMAYPUR BADLI,LN2,28.7446,77.1383
sant-surdas-sihi,SANT SURDAS (SIHI),,matched,code,138,NCBC,SANT SURDAS (SIHI),LN6,639ac2e6e264aca1c1ece075,NCBC,SANT SURDAS (SIHI),,SANT SURDAS (SIHI),LN6,28.354673,77.3140293
sarai,SARAI,,matched,code,129,SRAI,SARAI,LN6,639ac2e6e264aca1c1ece076,SRAI,SARAI,,SARAI,LN6,28.4780481,77.3028175
sarai-kale-khan-nizamuddin,SARAI KALE KHAN-NIZAMUDDIN,,matched,code,178,NIZM,SARAI KALE KHAN - NIZAMUDDIN,LN7,639ac2e6e264aca1c1ece077,NIZM,SARAI KALE KHAN - NIZAMUDDIN,,SARAI KALE KHAN - NIZAMUDDIN,LN7,28.58936,77.2549413
sarita-vihar,SARITA VIHAR,,matched,code,125,STVR,SARITA VIHAR,LN6,639ac2e6e264aca1c1ece078,STVR,SARITA VIHAR,,SARITA VIHAR,LN6,28.5294337,77.2861724
sarojini-nagar,SAROJINI NAGAR,,matched,code,174,SOJI,SAROJINI NAGAR,LN7,639ac2e6e264aca1c1ece079,SOJI,SAROJINI NAGAR,,SAROJINI NAGAR,LN7,28.5757221,77.1955806
satguru-ram-singh-marg,SATGURU RAM SINGH MARG,,matched,code,93,SRSM,SATGURU RAM SINGH MARG,LN5,639ac2e6e264aca1c1ece07a,SRSM,SATGURU RAM SINGH MARG,,SATGURU RAM SINGH MARG,LN5,28.66213,77.1554713
sector-28,SECTOR-28,,matched,code,132,STTA,SECTOR-28,LN6,639ac2e6e264aca1c1ece084,STTA,SECTOR-28,,SECTOR-28,LN6,28.43838,77.3067493
sector-34-noida,SECTOR-34 NOIDA,,matched,code,203,STFN,SECTOR - 34 NOIDA,LN3,639ac2e6e264aca1c1ece07b,STFN,SECTOR - 34 NOIDA,BILLABONG HIGH INTERNATIONAL SCHOOL SECTOR-34 NOIDA,SECTOR - 34 NOIDA,LN3,28.5801,77.3635
sector-42-43,SECTOR-42-43,,matched,code,255,SUL,SECTOR-42-43,LN11,639ac2e6e264aca1c1ece080,SUL,SECTOR-42-43,SECTOR-42-43,SECTOR-42-43,LN11,28.4574,77.0947
sector-52-noida,SECTOR-52 NOIDA,,matched,code,202,SFTN,SECTOR - 52 NOIDA,LN3,639ac2e6e264aca1c1ece07c,SFTN,SECTOR - 52 NOIDA,,SECTOR - 52 NOIDA,LN3,28.5867,77.3728
sector-53-54,SECTOR-53-54,,matched,code,256,S53,SECTOR-53-54,LN11,639ac2e6e264aca1c1ece081,S53,SECTOR-53-54,SECTOR-53-54,SECTOR-53-54,LN11,28.4464,77.0982
sector-54-chowk,SECTOR-54 CHOWK,,matched,code,257,AIT,SECTOR-54 CHOWK,LN11,639ac2e6e264aca1c1ece082,AIT,SECTOR-54 CHOWK,SECTOR-54 CHOWK,SECTOR-54 CHOWK,LN11,28.431,77.1028
sector-55-56,SECTOR 55-56,,matched,code,258,S55,SECTOR 55-56,LN11,639ac2e6e264aca1c1ece083,S55,SECTOR 55-56,SECTOR 55-56,SECTOR 55-56,LN11,28.4234,77.1052
sector-59-noida,SECTOR-59 NOIDA,,matched,code,200,SFNN,SECTOR - 59 NOIDA,LN3,639ac2e6e264aca1c1ece07d,SFNN,SECTOR - 59 NOIDA,,SECTOR - 59 NOIDA,LN3,28.6064,77.3731
sector-61-noida,SECTOR-61 NOIDA,,matched,code,201,SSON,SECTOR - 61 NOIDA,LN3,639ac2e6e264aca1c1ece07e,SSON,SECTOR - 61 NOIDA,,SECTOR - 61 NOIDA,LN3,28.5976,77.3701
sector-62-noida,SECTOR-62 NOIDA,,matched,code,199,SSTN,SECTOR - 62 NOIDA,LN3,639ac2e6e264aca1c1ece07f,SSTN,SECTOR - 62 NOIDA,,SECTOR - 62 NOIDA,LN3,28.617,77.3736
seelampur,SEELAMPUR,,matched,code,77,SLAP,SEELAMPUR,LN1,639ac2e6e264aca1c1ece085,SLAP,SEELAMPUR,,SEELAMPUR,LN1,28.6699,77.2666
seva-teerth,SEVA TEERTH,SEVA TEERTH (Formerly UDYOG BHAWAN)|SEVA TEERTH (earlier UDYOG BHAWAN)),matched,code,30,UDB,SEVA TEERTH (earlier UDYOG BHAWAN)),LN2,639ac2e6e264aca1c1ece0a2,UDB,SEVA TEERTH (Formerly UDYOG BHAWAN),,UDYOG BHAWAN,LN2,28.611,77.2122
shadipur,SHADIPUR,,matched,code,220,SP,SHADIPUR,LN3,639ac2e6e264aca1c1ece086,SP,SHADIPUR,,SHADIPUR,LN3,28.6516,77.1582
shahdara,SHAHDARA,,matched,code,75,SHD,SHAHDARA,LN1,639ac2e6e264aca1c1ece087,SHD,SHAHDARA,,SHAHDARA,LN1,28.6735,77.2899
shaheed-nagar,SHAHEED NAGAR,,matched,code,71,SHDN,SHAHEED NAGAR,LN1,639ac2e6e264aca1c1ece088,SHDN,SHAHEED NAGAR,,SHAHEED NAGAR,LN1,28.6766,77.3338
shaheed-sthal-new-bus-adda,SHAHEED STHAL ( NEW BUS ADDA),,matched,code,64,NBAA,SHAHEED STHAL ( NEW BUS ADDA),LN1,639ac2e6e264aca1c1ece089,NBAA,SHAHEED STHAL ( NEW BUS ADDA),,SHAHEED STHAL ( NEW BUS ADDA),LN1,28.6705,77.4158
shakurpur,SHAKURPUR,,matched,code,165,SAKP,SHAKURPUR,LN7,639ac2e6e264aca1c1ece08a,SAKP,SHAKURPUR,,SHAKURPUR,LN7,28.6857703,77.1474327
shalimar-bagh,SHALIMAR BAGH,,matched,code,164,SMBG,SHALIMAR BAGH,LN7,639ac2e6e264aca1c1ece08b,SMBG,SHALIMAR BAGH,,SHALIMAR BAGH,LN7,28.702018,77.1625815
shankar-vihar,SHANKAR VIHAR,,matched,code,157,SKVR,SHANKAR VIHAR,LN8,639ac2e6e264aca1c1ece08c,SKVR,SHANKAR VIHAR,,SHANKAR VIHAR,LN8,28.5608173,77.1381563
shastri-nagar,SHASTRI NAGAR,,matched,code,82,SHT,SHASTRI NAGAR,LN1,639ac2e6e264aca1c1ece08d,SHT,SHASTRI NAGAR,,SHASTRI NAGAR,LN1,28.6701,77.1813
shastri-park,SHASTRI PARK,,matched,code,78,SHPK,SHASTRI PARK,LN1,639ac2e6e264aca1c1ece08e,SHPK,SHASTRI PARK,,SHASTRI PARK,LN1,28.6683,77.2503
shiv-vihar,SHIV VIHAR,,matched,code,191,SVVR,SHIV VIHAR,LN7EXTN,639ac2e6e264aca1c1ece08f,SVVR,SHIV VIHAR,,SHIV VIHAR,LN7,28.7215468,77.2883255
shivaji-park,SHIVAJI PARK,,matched,code,96,SHVP,SHIVAJI PARK,LN5,639ac2e6e264aca1c1ece090,SHVP,SHIVAJI PARK,,SHIVAJI PARK,LN5,28.674939,77.1283933
shivaji-stadium,SHIVAJI STADIUM,,matched,code,244,SJSU,SHIVAJI STADIUM,LN10,639ac2e6e264aca1c1ece091,SJSU,SHIVAJI STADIUM,LIC Shivaji Stadium,SHIVAJI STADIUM,LN10,28.6287699,77.2114121
shree-ram-mandir-mayur-vihar,SHREE RAM MANDIR MAYUR VIHAR,SHREE RAM MANDIR MAYUR VIHAR (Formerly MAYUR VIHAR POCKET-1)|SHREE RAM MAYUR VIHAR MANDIR (earlier MAYUR VIHAR POCKET-1),matched,code,179,MVPO,SHREE RAM MAYUR VIHAR MANDIR (earlier MAYUR VIHAR POCKET-1),LN7,639ac2e6e264aca1c1ece030,MVPO,SHREE RAM MANDIR MAYUR VIHAR (Formerly MAYUR VIHAR POCKET-1),,MAYUR VIHAR POCKET-1,LN7,28.6057944,77.2965148
shyam-park,SHYAM PARK,,matched,code,68,SMPK,SHYAM PARK,LN1,639ac2e6e264aca1c1ece092,SMPK,SHYAM PARK,,SHYAM PARK,LN1,28.6782,77.3702
sikanderpur,SIKANDERPUR,SIKANDERPUR(RAPID METRO),matched,code+physical_name,44,SKRP,SIKANDERPUR,LN11|LN2,64d1dd0bbf394e55546119ac|639ac2e6e264aca1c1ece093,SKRP|SKY,SIKANDERPUR(RAPID METRO)|SIKANDERPUR,BANK OF BARODA SIKANDERPUR|BANK OF BARODA SIKANDERPUR,SIKANDERPUR(RAPID METRO)|SIKANDERPUR,LN11|LN2,28.4813|28.4813,77.0931|77.0931
sir-m-vishweshwaraiah-moti-bagh,SIR M. VISHWESHWARAIAH MOTI BAGH,,matched,code,172,SVMB,SIR M. VISHWESHWARAIAH MOTI BAGH,LN7,639ac2e6e264aca1c1ece094,SVMB,SIR M. VISHWESHWARAIAH MOTI BAGH,IGL Sir Vishweshwaraiah Moti Bagh,SIR M. VISHWESHWARAIAH MOTI BAGH,LN7,28.578504,77.1735373
soorghat,SOORGHAT,,legacy_only,,272,SOOG,SOORGHAT,LN7,,,,,,,,
south-extension,SOUTH EXTENSION,,matched,code,175,SOEN,SOUTH EXTENSION,LN7,639ac2e6e264aca1c1ece095,SOEN,SOUTH EXTENSION,,SOUTH EXTENSION,LN7,28.5686386,77.2180074
subhash-nagar,SUBHASH NAGAR,,matched,code,225,SN,SUBHASH NAGAR,LN3,639ac2e6e264aca1c1ece096,SN,SUBHASH NAGAR,,SUBHASH NAGAR,LN3,28.6404,77.1049
sukhdev-vihar,SUKHDEV VIHAR,,matched,code,146,IWNR,SUKHDEV VIHAR,LN8,639ac2e6e264aca1c1ece097,IWNR,SUKHDEV VIHAR,,SUKHDEV VIHAR,LN8,28.5596435,77.2733625
sultanpur,SULTANPUR,,matched,code,39,SLTP,SULTANPUR,LN2,639ac2e6e264aca1c1ece098,SLTP,SULTANPUR,,SULTANPUR,LN2,28.4991,77.1612
supreme-court,SUPREME COURT,,matched,code,214,PTMD,SUPREME COURT,LN3,639ac2e6e264aca1c1ece099,PTMD,SUPREME COURT,,SUPREME COURT,LN3,28.6233,77.2427
tagore-garden,TAGORE GARDEN,,matched,code,223,TG,TAGORE GARDEN,LN3,639ac2e6e264aca1c1ece09a,TG,TAGORE GARDEN,,TAGORE GARDEN,LN3,28.6438,77.1129
terminal-1-igi-airport,TERMINAL 1-IGI AIRPORT,,matched,code,158,IGDA,TERMINAL 1-IGI AIRPORT,LN8,639ac2e6e264aca1c1ece09b,IGDA,TERMINAL 1-IGI AIRPORT,TERMINAL 1-IGI AIRPORT,TERMINAL 1-IGI AIRPORT,LN8,28.5647538,77.1221478
tikri-border,TIKRI BORDER,,matched,code,110,TKBR,TIKRI BORDER,LN5,639ac2e6e264aca1c1ece09c,TKBR,TIKRI BORDER,,TIKRI BORDER,LN5,28.688233,76.9620993
tikri-kalan,TIKRI KALAN,,matched,code,109,TKLM,TIKRI KALAN,LN5,639ac2e6e264aca1c1ece09d,TKLM,TIKRI KALAN,,TIKRI KALAN,LN5,28.68688,76.9750813
tilak-nagar,TILAK NAGAR,,matched,code,226,TN,TILAK NAGAR,LN3,639ac2e6e264aca1c1ece09e,TN,TILAK NAGAR,,TILAK NAGAR,LN3,28.6366,77.0965
tis-hazari,TIS HAZARI,,matched,code,79,TZI,TIS HAZARI,LN1,639ac2e6e264aca1c1ece09f,TZI,TIS HAZARI,,TIS HAZARI,LN1,28.6671,77.2165
trilokpuri-sanjay-lake,TRILOKPURI-SANJAY LAKE,,matched,code,180,TKPR,TRILOKPURI-SANJAY LAKE,LN7,639ac2e6e264aca1c1ece0a0,TKPR,TRILOKPURI-SANJAY LAKE,,TRILOKPURI-SANJAY LAKE,LN7,28.6134317,77.3077957
tughlakabad-station,TUGHLAKABAD STATION,,matched,code,127,TKDS,TUGHLAKABAD STATION,LN6,639ac2e6e264aca1c1ece0a1,TKDS,TUGHLAKABAD STATION,,TUGHLAKABAD STATION,LN6,28.5031672,77.2963205
udyog-nagar,UDYOG NAGAR,,matched,code,101,UNRG,UDYOG NAGAR,LN5,639ac2e6e264aca1c1ece0a3,UNRG,UDYOG NAGAR,,UDYOG NAGAR,LN5,28.6810606,77.0787957
uttam-nagar-east,UTTAM NAGAR EAST,,matched,code,229,UNE,UTTAM NAGAR EAST,LN3,639ac2e6e264aca1c1ece0a4,UNE,UTTAM NAGAR EAST,,UTTAM NAGAR EAST,LN3,28.6248,77.0653
uttam-nagar-west,UTTAM NAGAR WEST,,matched,code,230,UNW,UTTAM NAGAR WEST,LN3,639ac2e6e264aca1c1ece0a5,UNW,UTTAM NAGAR WEST,,UTTAM NAGAR WEST,LN3,28.6218,77.0558
uttari-pitampura-prashant-vihar,UTTARI PITAMPURA-PRASHANT VIHAR,PRASHANT VIHAR,matched,code,274,PHVR,PRASHANT VIHAR,LN8EXTN,69ad8de4c162e4b8ee086e1e,PHVR,UTTARI PITAMPURA- PRASHANT VIHAR,UTTARI PITAMPURA- PRASHANT VIHAR,UTTARI PITAMPURA- PRASHANT VIHAR,LN8,28.5703764,77.1843847
vaishali,VAISHALI,,matched,code,28,VASI,VAISHALI,LN4,639ac2e6e264aca1c1ece0a6,VASI,VAISHALI,,VAISHALI,LN4,28.6498,77.3397
vasant-vihar,VASANT VIHAR,,matched,code,156,VTVR,VASANT VIHAR,LN8,639ac2e6e264aca1c1ece0a7,VTVR,VASANT VIHAR,,VASANT VIHAR,LN8,28.5581039,77.1603043
vidhan-sabha,VIDHAN SABHA,,matched,code,57,VS,VIDHAN SABHA,LN2,639ac2e6e264aca1c1ece0a8,VS,VIDHAN SABHA,,VIDHAN SABHA,LN2,28.6878,77.2216
vinobapuri,VINOBAPURI,,matched,code,176,VNPR,VINOBAPURI,LN7,639ac2e6e264aca1c1ece0a9,VNPR,VINOBAPURI,,VINOBAPURI,LN7,28.5655297,77.2485991
vishwavidyalaya,VISHWAVIDYALAYA,,matched,code,56,VW,VISHWAVIDYALAYA,LN2,639ac2e6e264aca1c1ece0aa,VW,VISHWAVIDYALAYA,SBI VISHWAVIDYALAYA,VISHWAVIDYALAYA,LN2,28.6952,77.2145
welcome,WELCOME,,matched,code,76,WC,WELCOME,LN1|LN7,639ac2e6e264aca1c1ece0ab,WC,WELCOME,,WELCOME,"LN1,LN7",28.6718,77.2777
yamuna-bank,YAMUNA BANK,,matched,code,212,YB,YAMUNA BANK,LN3|LN4,639ac2e6e264aca1c1ece0ac,YB,YAMUNA BANK,,YAMUNA BANK,"LN3,LN4",28.6233,77.2679
yamuna-vihar,YAMUNA VIHAR,,matched,code,265,YMVR,YAMUNA VIHAR,LN7,69ad8de4c162e4b8ee086e1d,YMVR,YAMUNA VIHAR,YAMUNA VIHAR,YAMUNA VIHAR,LN7,28.5703764,77.1843847
